team,p_top8,p_top24,p_playoff
Arsenal,1.0,1.0,0.0
Barcelona,0.855533,1.0,0.144467
Borussia Dortmund,0.005133,1.0,0.994867
Juventus,0.031233,1.0,0.968767
Inter,0.0459,1.0,0.9541
Atalanta,0.119967,1.0,0.880033
Atletico Madrid,0.511333,1.0,0.488667
Manchester City,0.658,1.0,0.342
Sporting CP,0.194,1.0,0.806
Chelsea,0.3499,1.0,0.6501
Newcastle United,0.147133,1.0,0.852867
Paris Saint-Germain,0.689433,1.0,0.310567
Tottenham Hotspur,0.568767,1.0,0.431233
Liverpool,0.957767,1.0,0.042233
Real Madrid,0.8659,1.0,0.1341
Bayern München,1.0,1.0,0.0
Galatasaray,0.0,0.998967,0.998967
Qarabag FK,0.0,0.996333,0.996333
Bayer Leverkusen,0.0,0.960367,0.960367
Marseille,0.0,0.951833,0.951833
Monaco,0.0,0.756267,0.756267
Athletic Club,0.0,0.684867,0.684867
Olympiacos,0.0,0.584467,0.584467
Napoli,0.0,0.5075,0.5075
PSV Eindhoven,0.0,0.4432,0.4432
Club Brugge,0.0,0.3598,0.3598
Pafos FC,0.0,0.247967,0.247967
Benfica,0.0,0.168533,0.168533
Ajax,0.0,0.107033,0.107033
Bodø/Glimt,0.0,0.088533,0.088533
Union St.Gilloise,0.0,0.079867,0.079867
FC København,0.0,0.064467,0.064467
Eintracht Frankfurt,0.0,0.0,0.0
Slavia Prague,0.0,0.0,0.0
Villarreal,0.0,0.0,0.0
Kairat Almaty,0.0,0.0,0.0
