Position,Team,Points,Goal diff,Top 8,Top 24,Playoff
1,Arsenal,21,18,1,1,0
2,Bayern München,18,13,1,1,0
3,Real Madrid,15,11,0.8659,1,0.1341
4,Liverpool,15,6,0.957767,1,0.042233
5,Tottenham Hotspur,14,8,0.568767,1,0.431233
6,Paris Saint-Germain,13,10,0.689433,1,0.310567
7,Newcastle United,13,10,0.147133,1,0.852867
8,Chelsea,13,6,0.3499,1,0.6501
9,Barcelona,13,5,0.855533,1,0.144467
10,Sporting CP,13,5,0.194,1,0.806
11,Manchester City,13,4,0.658,1,0.342
12,Atletico Madrid,13,3,0.511333,1,0.488667
13,Atalanta,13,1,0.119967,1,0.880033
14,Inter,12,6,0.0459,1,0.9541
15,Juventus,12,4,0.031233,1,0.968767
16,Borussia Dortmund,11,4,0.005133,1,0.994867
17,Galatasaray,10,0,0,0.998967,0.998967
18,Qarabag FK,10,-2,0,0.996333,0.996333
19,Marseille,9,0,0,0.951833,0.951833
20,Bayer Leverkusen,9,-4,0,0.960367,0.960367
21,Monaco,9,-6,0,0.756267,0.756267
22,PSV Eindhoven,8,1,0,0.4432,0.4432
23,Athletic Club,8,-4,0,0.684867,0.684867
24,Olympiacos,8,-5,0,0.584467,0.584467
25,Napoli,8,-5,0,0.5075,0.5075
26,FC København,8,-6,0,0.064467,0.064467
27,Club Brugge,7,-5,0,0.3598,0.3598
28,Bodø/Glimt,6,-2,0,0.088533,0.088533
29,Benfica,6,-4,0,0.168533,0.168533
30,Pafos FC,6,-6,0,0.247967,0.247967
31,Union St.Gilloise,6,-10,0,0.079867,0.079867
32,Ajax,6,-12,0,0.107033,0.107033
33,Eintracht Frankfurt,4,-9,0,0,0
34,Slavia Prague,3,-11,0,0,0
35,Villarreal,1,-10,0,0,0
36,Kairat Almaty,1,-14,0,0,0
