Team,Country,start_date,end_date,days
Aberdeen,SCO,1983-11-03,1984-04-02,152
Aberdeen,SCO,1984-04-15,1984-04-25,11
Aberdeen,SCO,1984-10-08,1984-10-10,3
Arsenal,ENG,1971-04-18,1971-04-24,7
Arsenal,ENG,1971-08-18,1971-08-24,7
Arsenal,ENG,1991-10-03,1991-10-03,1
Arsenal,ENG,1991-10-06,1991-10-06,1
Arsenal,ENG,2004-10-21,2004-10-24,4
Arsenal,ENG,2025-02-13,2025-02-22,10
Arsenal,ENG,2025-04-09,2025-04-12,4
Arsenal,ENG,2025-04-21,2025-04-23,3
Arsenal,ENG,2025-08-18,2025-08-25,8
Arsenal,ENG,2025-09-29,2026-01-10,104
Celtic,SCO,1968-03-31,1969-03-24,359
Celtic,SCO,1969-03-30,1969-04-19,21
Celtic,SCO,1970-09-17,1970-09-19,3
Celtic,SCO,1970-10-18,1970-10-21,4
Celtic,SCO,1971-09-30,1971-10-02,3
Celtic,SCO,1971-12-09,1972-04-29,143
Chelsea,ENG,2004-12-08,2006-02-01,421
Chelsea,ENG,2006-02-06,2006-02-11,6
Chelsea,ENG,2006-02-13,2006-02-22,10
Chelsea,ENG,2006-11-01,2006-11-19,19
Chelsea,ENG,2007-02-11,2007-02-11,1
Chelsea,ENG,2007-02-19,2007-05-23,94
Chelsea,ENG,2007-06-10,2007-06-17,8
Chelsea,ENG,2007-08-16,2007-09-02,18
Chelsea,ENG,2008-05-06,2008-05-11,6
Chelsea,ENG,2008-08-18,2008-08-25,8
Chelsea,ENG,2008-09-14,2008-10-01,18
Chelsea,ENG,2008-10-19,2008-10-26,8
Chelsea,ENG,2008-11-02,2008-11-04,3
Chelsea,ENG,2008-11-10,2008-11-26,17
Chelsea,ENG,2009-11-09,2009-12-05,27
Everton,ENG,1969-10-26,1969-10-29,4
Everton,ENG,1969-11-02,1969-11-08,7
Everton,ENG,1970-04-02,1970-08-22,143
Everton,ENG,1985-04-25,1985-05-20,26
Everton,ENG,1985-05-24,1985-05-26,3
Everton,ENG,1986-02-02,1986-03-22,49
Everton,ENG,1986-03-30,1986-04-30,32
Everton,ENG,1986-08-26,1986-08-30,5
Everton,ENG,1986-09-04,1986-09-06,3
Everton,ENG,1986-09-21,1986-09-27,7
Everton,ENG,1986-12-07,1986-12-13,7
Everton,ENG,1986-12-21,1987-03-04,74
Everton,ENG,1987-05-31,1987-06-17,18
Forest,ENG,1979-10-04,1979-10-13,10
Forest,ENG,1979-10-21,1979-10-24,4
Hibernian,SCO,1951-10-08,1951-10-21,14
Hibernian,SCO,1951-12-24,1951-12-29,6
Hibernian,SCO,1952-02-18,1952-02-23,6
Leeds,ENG,1969-05-12,1969-05-28,17
Leeds,ENG,1969-10-17,1969-10-25,9
Leeds,ENG,1969-10-30,1969-11-01,3
Leeds,ENG,1969-11-09,1970-04-01,144
Leeds,ENG,1970-08-23,1970-09-16,25
Leeds,ENG,1970-09-20,1970-09-26,7
Leeds,ENG,1970-10-01,1970-10-10,10
Leeds,ENG,1970-10-12,1970-10-17,6
Leeds,ENG,1970-10-22,1971-04-17,178
Leeds,ENG,1971-04-25,1971-08-17,115
Leeds,ENG,1971-08-25,1971-09-29,36
Leeds,ENG,1973-12-09,1973-12-12,4
Leeds,ENG,1974-01-14,1974-01-20,7
Leeds,ENG,1974-02-10,1974-02-23,14
Liverpool,ENG,1972-10-02,1972-10-15,14
Liverpool,ENG,1972-10-26,1972-11-11,17
Liverpool,ENG,1972-12-04,1973-02-10,69
Liverpool,ENG,1974-03-24,1974-05-17,55
Liverpool,ENG,1974-05-19,1974-09-28,133
Liverpool,ENG,1976-04-04,1977-05-22,414
Liverpool,ENG,1977-05-26,1977-12-10,199
Liverpool,ENG,1977-12-18,1978-03-14,87
Liverpool,ENG,1978-03-16,1978-03-18,3
Liverpool,ENG,1978-03-26,1979-10-03,557
Liverpool,ENG,1979-10-14,1979-10-20,7
Liverpool,ENG,1979-10-28,1979-11-01,5
Liverpool,ENG,1979-12-27,1980-01-19,24
Liverpool,ENG,1980-02-24,1980-02-26,3
Liverpool,ENG,1980-03-02,1980-03-05,4
Liverpool,ENG,1982-05-20,1982-09-29,133
Liverpool,ENG,1984-04-03,1984-04-14,12
Liverpool,ENG,1984-04-26,1984-09-15,143
Liverpool,ENG,1984-12-13,1985-01-01,20
Liverpool,ENG,1985-01-20,1985-04-24,95
Liverpool,ENG,1985-05-21,1985-05-23,3
Liverpool,ENG,1985-05-27,1986-02-01,251
Liverpool,ENG,1986-05-01,1986-08-25,117
Liverpool,ENG,1986-08-31,1986-09-03,4
Liverpool,ENG,1986-09-07,1986-09-20,14
Liverpool,ENG,1986-11-06,1986-12-06,31
Liverpool,ENG,1986-12-14,1986-12-20,7
Liverpool,ENG,1987-03-15,1987-03-22,8
Liverpool,ENG,1987-12-29,1988-02-06,40
Liverpool,ENG,1988-02-14,1988-03-20,36
Liverpool,ENG,1988-09-04,1988-10-01,28
Liverpool,ENG,1989-04-20,1989-05-26,37
Liverpool,ENG,1989-09-24,1989-11-05,43
Liverpool,ENG,1990-10-29,1990-11-07,10
Liverpool,ENG,1991-03-24,1991-03-30,7
Liverpool,ENG,2009-04-05,2009-04-08,4
Liverpool,ENG,2019-05-08,2020-07-02,422
Liverpool,ENG,2022-02-24,2022-02-26,3
Liverpool,ENG,2022-03-06,2022-03-06,1
Liverpool,ENG,2022-03-15,2022-08-07,146
Liverpool,ENG,2024-12-02,2025-01-29,59
Liverpool,ENG,2025-01-31,2025-02-12,13
Liverpool,ENG,2025-02-23,2025-04-08,45
Liverpool,ENG,2025-04-13,2025-04-20,8
Liverpool,ENG,2025-04-24,2025-08-17,116
Liverpool,ENG,2025-08-26,2025-09-28,34
Man City,ENG,2021-02-26,2021-03-07,10
Man City,ENG,2021-03-11,2021-09-14,188
Man City,ENG,2021-09-16,2021-09-18,3
Man City,ENG,2021-09-26,2021-09-28,3
Man City,ENG,2021-10-20,2021-10-20,1
Man City,ENG,2021-11-25,2021-12-07,13
Man City,ENG,2022-01-08,2022-02-23,47
Man City,ENG,2022-02-27,2022-03-05,7
Man City,ENG,2022-03-07,2022-03-14,8
Man City,ENG,2022-08-08,2024-12-01,847
Man United,ENG,1999-08-26,1999-09-18,24
Man United,ENG,1999-09-23,1999-09-25,3
Man United,ENG,2000-03-10,2000-03-11,2
Man United,ENG,2000-03-15,2000-03-15,1
Man United,ENG,2000-03-17,2000-09-28,196
Man United,ENG,2000-11-08,2000-12-17,40
Man United,ENG,2000-12-27,2000-12-30,4
Man United,ENG,2001-01-02,2001-01-07,6
Man United,ENG,2001-02-15,2001-02-20,6
Man United,ENG,2001-03-16,2001-03-31,16
Man United,ENG,2002-05-06,2002-05-08,3
Man United,ENG,2003-02-27,2003-03-11,13
Man United,ENG,2003-05-12,2003-06-15,35
Man United,ENG,2003-08-24,2003-08-27,4
Man United,ENG,2007-11-07,2007-11-07,1
Man United,ENG,2007-11-09,2007-12-15,37
Man United,ENG,2007-12-17,2008-02-10,56
Man United,ENG,2008-02-15,2008-02-16,2
Man United,ENG,2008-02-20,2008-05-05,76
Man United,ENG,2008-05-12,2008-08-17,98
Man United,ENG,2008-08-26,2008-09-13,19
Man United,ENG,2008-10-02,2008-10-18,17
Man United,ENG,2008-10-27,2008-11-01,6
Man United,ENG,2008-11-05,2008-11-09,5
Man United,ENG,2008-11-27,2009-04-04,129
Man United,ENG,2009-04-09,2009-09-29,174
Man United,ENG,2009-10-02,2009-10-03,2
Man United,ENG,2009-10-21,2009-11-03,14
Man United,ENG,2009-11-05,2009-11-07,3
Tottenham,ENG,1985-01-02,1985-01-19,18
