player_id,full_name,emery_matches,emery_psxg,emery_goals_against,emery_goals_prevented,emery_goals_prevented_per_match,not_emery_matches,not_emery_psxg,not_emery_goals_against,not_emery_goals_prevented,not_emery_goals_prevented_per_match
7956236f,Emiliano Martínez,121,150.9,142.0,8.900000000000006,0.0735537190082645,102.0,124.60000000000001,128.0,-3.3999999999999915,-0.03333333333333325
2628fd2b,Bernd Leno,48,65.7,63.0,2.700000000000003,0.05625000000000006,213.0,271.7,284.0,-12.300000000000011,-0.05774647887323949
625c144a,Gerónimo Rulli,70,62.6,64.0,-1.3999999999999986,-0.01999999999999998,125.0,160.0,170.0,-10.0,-0.08
9f0ea33f,Sergio Asenjo,43,45.2,49.0,-3.799999999999997,-0.08837209302325574,101.0,138.7,141.0,-2.3000000000000114,-0.022772277227722886
2f965a72,Alphonse Areola,42,35.2,34.0,1.2000000000000028,0.02857142857142864,157.0,195.2,199.0,-3.8000000000000114,-0.024203821656051026
e7ee38c3,Robin Olsen,14,23.3,28.0,-4.699999999999999,-0.3357142857142857,65.0,91.4,97.0,-5.599999999999994,-0.08615384615384607
71672fa0,Petr Čech,18,20.0,20.0,0.0,0.0,37.0,49.2,51.0,-1.7999999999999972,-0.048648648648648575
ce17b5eb,Kevin Trapp,4,4.9,4.0,0.9000000000000004,0.2250000000000001,263.0,369.9,383.0,-13.100000000000023,-0.04980988593155902
0107757e,Filip Jørgensen,3,4.0,4.0,0.0,0.0,57.0,86.6,85.0,1.5999999999999943,0.02807017543859639
a79abd8b,Filip Marshall,1,0.6,1.0,-0.4,-0.4,,,,,
e358587b,Pepe Reina,1,0.5,0.0,0.5,0.5,166.0,195.3,221.0,-25.69999999999999,-0.15481927710843366
